"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Prisma", "MS SQL", "comment", "blank", "total"
"/Users/aaronmarsh/Documents/hackathon/src/app/layout.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/aaronmarsh/Documents/hackathon/src/app/page.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 99
"/Users/aaronmarsh/Documents/hackathon/src/app/property/[id]/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/aaronmarsh/Documents/hackathon/src/app/property/create/page.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/aaronmarsh/Documents/hackathon/src/app/wrappers/react-cookies.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/aaronmarsh/Documents/hackathon/src/app/wrappers/react-query.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/button.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/card.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/input.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/label.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 129
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/progress.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/aaronmarsh/Documents/hackathon/src/components/ui/slider.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/aaronmarsh/Documents/hackathon/src/env.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 25, 4, 63
"/Users/aaronmarsh/Documents/hackathon/src/lib/router.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/aaronmarsh/Documents/hackathon/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/aaronmarsh/Documents/hackathon/src/schema/auth/index.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/aaronmarsh/Documents/hackathon/src/schema/property/index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/aaronmarsh/Documents/hackathon/src/server/auth.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 31, 6, 73
"/Users/aaronmarsh/Documents/hackathon/src/server/auth/index.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/aaronmarsh/Documents/hackathon/src/server/auth/token.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/aaronmarsh/Documents/hackathon/src/server/db.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/Users/aaronmarsh/Documents/hackathon/src/server/db/property.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/aaronmarsh/Documents/hackathon/src/server/db/share.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/aaronmarsh/Documents/hackathon/src/server/db/user.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/aaronmarsh/Documents/hackathon/src/styles/globals.css", "CSS", 0, 0, 80, 0, 0, 0, 0, 0, 0, 5, 10, 95
"/Users/aaronmarsh/Documents/hackathon/tailwind.config.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"/Users/aaronmarsh/Documents/hackathon/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 4, 43
"Total", "-", 1243, 431, 80, 98, 35, 9804, 18, 36, 61, 135, 262, 12203
